#===========================================================
# Tol=loose 
# Basis Set:Crystal
# Number     QCTC        ONX       TRS4        Energy/N      
#===========================================================
    0        0.00       0.00       0.00     -76.                   0.00                    
    2       10.78       5.20       0.05     -76.015323305          1.50
   16       68.37      62.12       1.11     -76.018735911          11.1
   54      224.67     273.72       8.84     -76.018907567          88.4
  128      541.45     692.82      31.10     -76.018842379         311.0
  250     1042.78    1454.74      75.62     -76.018864137         750.62 
  432     1855.86    2652.77     145.85     -76.                 1458.5

#===========================================================
# Tol=good
# Basis Set:Crystal
# Number     QCTC        ONX       TRS4        Energy/N
#===========================================================
#    0        0.00       0.00       0.00
#    2       21.47       7.04       0.05      -76.015128565  
#   16      133.82     113.85       2.30      -76.018772218
#   54      440.58     593.58      26.31      -76.018821560
#  128     1038.76    1668.65      99.96      -76.018820777
#  250     2080.76    3333.15     261.73      -76.018821427

#===========================================================
# N=250    BasisSet=Crystal   tol=loose
#
#    a        Energy                   Energy/N
#===========================================================
#   7.312     -19004.71882732           -76.018875309
#   7.320     -19004.71462439           -76.018858497
#   7.328     -19004.71603431           -76.018864137
#   7.336     -19004.69711852           -76.018788474
#   7.344     -19004.69771700           -76.018790868
#
#   6.950
#   7.350 
#===========================================================
# Crystal90   BasisSet=Crystal   kspace=(6,0,6)
#
#    a        Energy                   Energy/N
#===========================================================
#   6.950     -152.0375031237          -76.0187515618
#   6.970     -152.0376664617          -76.0188332308
#   6.990     -152.0378110287          -76.0189055143
#   7.010     -152.0379368419          -76.0189684209
#   7.030     -152.0380444066          -76.0190222033
#   7.050     -152.0381336950          -76.0190668475
#   7.070     -152.0382051000          -76.0191025500
#   7.090     -152.0382592841          -76.0191296420
#   7.110     -152.0382963194          -76.0191481597
#   7.130     -152.0383162489          -76.0191581244
#   7.150     -152.0383191113          -76.0191595556
#   7.170     -152.0383061357          -76.0191530678
#   7.190     -152.0382770889          -76.0191385444
#   7.210     -152.0382322120          -76.0191161060
#   7.230     -152.0381717499          -76.0190858749 
#   7.250     -152.0380959925          -76.0190479962
#   7.270     -152.0380050359          -76.0190025179
#   7.290     -152.0378993103          -76.0189496551
#   7.310     -152.0377788118          -76.0188894059
#   7.328     -152.0376584317          -76.0188292158
#   7.350     -152.0374955076          -76.0187477538
